lead_time,avg_price_per_room,no_of_special_requests,arrival_month,Unnamed: 0,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,booking_status
21,95.0,0,10,10134,17,2,1,1,0,1
248,118.0,0,5,1743,26,4,2,0,0,0
8,130.0,0,11,29567,5,3,1,0,0,1
96,190.8,2,10,12146,13,4,3,0,0,1
17,76.29,1,12,9207,2,4,2,2,3,1
62,94.8,0,4,4950,25,4,2,1,3,1
0,89.0,0,7,9512,29,4,1,0,3,1
52,168.3,1,7,27909,23,4,1,0,0,1
16,76.0,0,3,29581,8,2,3,0,0,1
155,130.05,0,8,35946,1,4,4,1,0,0
16,106.0,4,10,14958,29,4,3,2,3,1
7,85.0,0,2,16893,22,4,0,1,0,0
320,115.0,1,8,10519,18,3,2,0,1,0
149,195.3,1,8,9362,12,4,2,1,0,1
43,168.3,2,7,5245,18,4,1,1,0,1
104,108.0,1,10,6687,9,4,0,1,3,0
139,131.36,0,7,11893,16,4,9,4,0,0
30,85.0,0,10,31146,27,3,3,0,0,1
170,96.9,1,9,29174,12,3,1,0,1,1
81,135.15,1,5,22680,16,4,3,1,0,1
180,100.0,1,5,19341,2,3,1,1,0,1
100,90.9,0,10,15533,26,4,1,0,0,0
36,104.0,2,12,28395,7,4,4,2,0,1
214,158.95,1,8,17735,7,4,2,2,0,0
101,140.7,0,7,3142,31,4,1,2,0,1
39,101.5,0,8,20348,14,3,2,0,1,1
279,110.0,0,10,5217,12,4,3,0,0,0
131,94.5,0,8,23180,15,3,1,2,1,0
150,118.8,2,10,30400,3,4,2,1,0,1
17,124.0,1,9,35381,11,4,0,2,0,1
4,78.0,2,12,20964,16,4,1,0,3,1
24,58.0,1,12,28517,24,3,3,2,0,1
15,87.33,1,12,26109,27,3,5,1,0,1
69,139.5,3,7,20100,16,4,2,2,0,1
21,92.0,0,1,16728,4,3,5,1,1,1
169,106.0,0,4,14576,22,3,2,2,1,0
278,73.95,0,12,24857,23,4,5,2,0,0
88,96.9,1,7,9055,18,3,2,1,0,1
3,166.25,0,9,18930,22,2,1,0,0,1
140,195.3,2,7,10641,8,4,1,0,0,1
11,74.8,0,3,20479,11,3,2,0,0,1
110,70.0,0,12,32743,9,3,4,0,0,1
276,61.0,0,5,24892,13,3,3,2,0,0
48,168.3,1,8,24591,24,4,4,0,0,1
4,137.0,0,3,21693,22,4,2,0,0,1
230,137.0,1,9,35353,6,3,5,0,0,0
209,106.25,0,8,29202,21,4,5,2,0,0
280,110.0,0,9,168,19,4,2,1,0,0
36,81.08,1,4,20377,12,4,2,0,0,1
169,99.45,1,8,30277,5,4,4,2,0,1
335,90.0,1,10,28388,13,3,3,0,0,0
59,123.3,2,3,9391,28,4,0,1,0,1
226,90.95,1,8,16047,8,4,5,2,0,1
16,105.0,2,9,18067,9,4,3,0,0,1
84,150.3,1,8,4696,5,4,2,2,0,1
277,89.14,1,9,29904,5,3,5,2,1,1
73,140.4,1,8,11453,6,4,1,1,0,0
39,129.7,0,9,28424,25,4,0,1,0,1
31,71.0,0,2,30117,4,2,2,0,0,1
27,120.0,0,6,8873,9,3,1,0,0,1
12,152.0,1,9,1623,17,4,1,0,0,1
7,145.0,2,8,30681,19,4,2,1,0,1
1,128.0,2,8,34099,17,4,1,0,3,1
2,77.25,0,1,1521,7,4,3,0,0,1
159,90.95,1,6,33177,27,4,3,1,0,1
15,116.75,1,9,11224,9,4,4,0,0,1
28,158.86,1,7,6091,24,4,3,2,0,1
130,76.5,1,8,25374,1,4,1,2,0,0
99,109.5,1,7,9575,9,4,1,2,3,1
275,90.0,0,10,18410,5,3,4,1,0,0
80,101.77,3,12,22155,20,4,5,2,1,1
113,132.6,0,5,21484,25,4,4,0,0,0
87,150.3,0,8,26499,9,4,4,0,0,0
18,89.0,2,9,27175,11,4,0,1,3,1
301,115.0,1,7,15569,30,3,1,1,1,0
7,95.0,1,11,24212,2,4,3,1,0,1
41,71.41,0,3,33880,8,4,5,2,3,1
315,160.0,0,9,6228,30,4,2,1,1,0
169,63.5,0,4,30298,22,3,2,2,0,1
108,120.0,1,3,6682,24,4,3,2,0,1
171,128.7,2,8,23264,26,4,1,0,0,0
12,64.0,1,12,8651,5,3,1,1,0,1
9,99.0,0,5,10194,25,4,1,0,3,1
39,87.0,0,8,32520,14,3,2,0,1,1
22,108.5,0,2,35277,13,4,4,2,0,1
50,144.0,2,10,18468,5,4,2,0,0,1
67,79.2,3,11,4371,11,4,2,2,3,1
2,141.0,1,6,26775,4,4,1,0,0,1
86,49.07,0,11,15170,20,3,2,1,0,1
144,151.2,0,10,33876,5,4,5,2,0,0
92,89.25,1,7,4289,15,4,4,0,0,0
217,95.63,1,7,32903,18,4,1,1,0,0
5,100.0,0,9,31136,20,2,0,2,0,1
166,110.0,0,11,759,1,4,3,0,0,0
33,126.9,0,5,12624,2,4,1,1,0,0
115,110.7,2,8,33430,4,4,3,2,0,1
149,137.7,0,8,26248,20,4,1,2,0,0
94,90.45,0,10,1201,31,4,1,1,0,0
48,79.2,1,11,9109,6,4,0,1,3,1
105,93.6,1,12,29946,20,4,1,0,0,0
53,85.5,0,9,16510,17,3,1,2,0,1
73,69.7,1,3,6433,28,3,3,1,0,1
56,82.0,0,9,19208,17,3,2,0,1,1
11,156.0,1,6,10605,16,4,5,2,0,1
22,101.0,1,10,2662,6,4,1,0,0,1
4,120.0,3,9,20903,14,4,0,1,0,1
115,132.3,0,10,1978,15,4,4,2,0,0
6,65.0,0,8,13819,12,2,1,0,0,1
86,65.0,1,5,13225,20,3,2,1,0,1
23,166.0,1,8,955,3,4,1,0,0,1
112,100.0,0,6,11456,2,3,2,0,0,1
6,197.0,2,5,22979,26,4,1,0,0,1
92,140.4,0,6,13544,1,4,3,0,0,0
14,137.7,0,4,13309,7,4,3,2,0,0
5,65.0,1,9,34605,26,2,0,1,0,1
247,115.0,1,6,19771,6,3,1,1,1,0
9,117.0,0,2,10138,17,3,3,0,1,1
4,0.0,2,4,12584,18,4,0,1,0,1
6,110.5,3,12,34266,28,4,4,0,0,1
0,109.0,0,8,10132,14,3,2,0,1,1
67,0.0,1,5,28533,21,4,0,0,0,1
19,100.0,1,2,2528,21,4,0,2,0,0
5,90.0,0,10,2420,19,3,2,1,0,1
33,120.6,0,9,28437,10,3,1,1,0,1
0,77.0,0,12,23987,28,2,1,0,0,1
1,65.5,0,2,29462,24,2,2,0,0,1
127,81.96,1,6,31907,29,4,5,2,3,1
33,83.16,0,10,4452,21,3,3,0,0,1
7,86.12,2,11,22577,27,4,2,0,0,1
273,95.0,0,5,11276,13,3,2,1,0,0
42,80.3,1,1,33376,16,4,1,0,0,1
76,110.15,1,3,1075,20,4,3,2,0,1
1,79.0,0,1,28299,23,4,1,2,3,1
9,178.0,2,10,12389,30,4,0,2,1,1
13,75.0,1,8,18960,7,4,1,0,0,1
0,0.0,2,12,27665,19,1,1,1,0,1
0,168.3,0,5,31828,19,4,1,0,3,1
37,88.4,1,11,5312,13,4,4,2,0,0
4,91.0,2,11,6707,17,4,1,0,0,1
148,119.69,0,8,35682,16,4,5,2,0,0
32,109.58,1,10,11973,14,4,4,0,0,1
11,92.58,1,12,14945,26,4,1,2,0,1
169,90.95,2,8,25065,27,4,3,2,0,1
46,168.3,2,8,836,24,4,3,0,0,1
67,72.08,0,3,31028,26,3,1,2,0,0
68,149.4,1,9,20636,8,4,3,1,0,1
103,151.2,0,10,32236,9,4,0,1,0,0
263,110.0,0,10,25127,21,3,2,0,0,0
74,101.5,0,9,22873,18,3,2,0,1,1
84,149.4,2,9,20743,9,4,2,0,0,1
78,100.0,0,3,10212,25,3,2,1,0,0
119,110.0,0,6,15277,7,3,3,0,0,1
103,115.0,0,4,26340,19,3,2,0,0,0
164,115.0,0,10,10078,16,3,0,1,0,0
14,105.0,2,9,33302,1,4,1,0,0,1
91,80.0,0,9,32547,30,3,2,1,0,1
161,127.8,1,8,28776,16,4,2,0,0,0
44,96.3,0,6,2916,18,3,1,1,0,1
22,102.41,1,9,14766,15,4,2,0,3,1
14,110.5,1,9,34518,30,4,2,0,0,1
62,68.0,0,12,23089,25,3,3,2,0,1
4,72.8,0,2,22526,13,3,1,0,0,1
70,100.0,0,6,17698,3,3,2,0,0,1
22,118.58,1,11,34882,17,4,3,0,0,1
180,70.0,0,10,24743,16,3,1,0,0,0
22,152.6,2,4,16432,14,4,3,2,0,1
114,87.05,1,5,8247,14,4,2,2,0,1
118,110.0,0,6,15278,6,3,2,1,0,1
46,138.6,2,12,17208,8,4,3,0,0,1
14,124.0,1,8,1334,31,4,1,0,0,1
33,83.16,0,10,22878,21,3,3,0,0,1
68,71.33,0,12,26356,31,3,3,0,0,1
40,77.55,1,1,35465,14,4,3,0,0,1
36,53.97,1,1,12506,29,4,2,1,3,1
190,130.05,0,12,24617,26,4,4,1,1,1
286,90.0,0,10,15411,16,3,0,1,0,0
4,73.8,0,2,12378,22,3,1,1,0,1
275,90.0,0,10,3721,5,4,4,1,0,0
61,92.65,2,11,23808,12,3,3,2,0,1
0,137.0,0,6,36051,28,4,1,0,3,1
78,100.0,0,3,14183,25,3,2,1,0,0
15,93.17,0,5,4715,7,4,1,2,0,1
70,85.5,0,4,24732,5,4,3,0,3,1
12,65.0,0,10,6744,7,2,1,0,0,1
184,90.9,1,10,35344,29,4,1,2,0,0
50,75.0,0,3,10555,29,3,3,0,0,1
27,108.0,0,9,21096,30,3,2,0,0,1
121,90.0,0,6,8710,24,3,2,1,0,0
67,135.0,0,10,30747,19,4,3,0,0,0
247,115.0,1,6,4085,6,4,1,1,1,0
245,110.0,0,7,19241,6,3,4,2,0,0
0,145.0,1,10,33965,21,3,1,0,0,1
20,133.11,0,12,29986,19,4,5,3,0,1
67,109.8,1,4,19031,3,4,1,2,0,1
11,68.53,1,4,6602,5,4,1,0,3,1
56,140.4,0,6,7445,1,4,3,0,0,1
246,93.36,2,12,21670,27,4,5,2,0,1
28,110.0,0,11,9309,2,4,1,0,3,0
64,158.4,1,9,6619,16,4,2,0,0,1
2,151.0,1,4,33305,29,4,4,2,0,1
14,101.0,1,6,5134,26,4,0,1,0,1
192,95.0,0,6,635,24,3,2,0,0,1
127,128.88,2,6,20321,17,4,2,1,1,1
243,80.7,0,9,13370,20,4,2,2,0,0
133,186.3,1,8,31803,8,4,1,1,0,1
36,126.9,2,5,20418,11,4,3,0,0,1
180,120.0,0,10,5053,10,4,2,1,0,0
90,96.3,0,3,20547,25,4,2,1,0,1
53,122.0,4,10,29341,31,4,3,1,0,1
59,106.2,1,11,25088,28,4,4,2,0,1
7,67.0,1,11,4068,17,2,1,0,0,1
22,109.0,2,5,8862,29,4,0,1,3,1
17,157.5,2,12,30739,2,4,2,0,0,1
10,105.0,2,9,18149,8,4,4,0,0,1
58,95.4,1,12,4623,9,4,2,0,0,1
72,79.2,2,12,18146,27,4,1,0,3,1
248,74.15,0,10,12969,29,4,1,2,0,0
1,232.5,1,11,13831,6,4,0,2,0,1
52,84.8,1,2,31149,18,4,2,0,0,1
1,65.0,0,1,29812,14,3,2,0,0,1
189,70.44,1,10,25983,22,4,2,2,0,1
16,110.75,0,5,21441,29,3,3,2,1,1
15,138.0,2,9,11175,2,4,2,0,0,1
47,198.9,2,5,8454,26,4,1,0,0,1
5,135.5,0,9,14186,19,4,1,1,0,1
33,62.0,0,1,5971,25,2,1,1,0,0
42,116.26,0,3,7962,31,4,3,1,0,0
5,224.0,3,11,16816,8,4,1,0,0,1
0,155.0,0,9,14406,3,4,1,0,0,1
34,224.67,0,9,24049,23,3,3,0,1,0
65,149.4,1,9,2173,9,4,2,0,0,1
25,133.0,0,10,29990,19,4,3,0,0,0
20,85.5,1,9,31217,25,3,0,2,0,1
12,65.0,0,8,19332,5,2,3,0,0,1
338,87.3,0,12,10168,15,4,3,0,0,0
270,80.0,0,4,21185,20,3,4,0,0,1
150,96.0,0,6,17583,16,3,3,0,0,0
68,109.8,0,12,14579,22,4,2,0,0,0
276,95.0,0,9,8489,22,3,3,0,0,0
5,119.0,0,6,5048,2,4,1,0,3,1
32,73.0,0,11,17912,20,3,2,0,0,1
204,180.9,1,10,6918,7,4,2,0,0,0
219,108.0,0,9,31156,4,3,1,0,1,0
210,105.4,0,10,20412,21,3,2,2,0,0
53,80.3,1,2,27468,20,4,1,1,0,1
213,130.0,0,6,35406,7,3,3,0,0,0
110,94.5,0,7,14843,25,3,1,2,1,0
158,114.75,1,5,11900,25,4,4,0,0,0
35,72.9,1,2,29607,13,4,1,1,0,0
19,159.0,1,9,29576,23,4,2,1,0,0
103,94.5,0,7,8295,18,3,1,2,1,0
169,63.5,0,4,31857,22,3,2,2,0,1
245,110.0,0,7,20458,6,3,4,2,0,0
89,72.25,2,11,19719,23,4,2,1,0,1
37,105.0,0,10,4211,13,3,3,0,0,1
173,89.25,0,10,20997,15,4,4,2,0,0
141,137.7,2,7,15220,16,4,1,1,0,1
31,94.5,0,4,25467,24,4,0,1,3,0
13,127.0,2,6,22752,23,4,1,0,0,1
96,94.5,0,7,828,11,3,1,2,1,1
36,139.14,0,9,31789,24,4,3,2,0,0
82,149.4,1,9,27291,15,4,3,0,0,0
16,114.57,0,10,8010,3,4,5,2,0,1
240,85.5,1,8,15726,18,4,3,0,3,0
56,120.0,0,6,28818,8,3,1,0,0,1
34,86.4,2,10,7153,8,4,1,0,3,1
211,63.75,0,12,202,16,4,2,2,3,0
64,75.0,0,11,19170,18,3,2,1,0,1
124,94.5,1,5,5593,5,4,3,0,3,0
12,77.57,1,9,6919,7,4,3,1,0,1
2,81.75,0,5,26277,15,3,2,2,0,1
45,207.9,1,9,2434,15,4,3,0,0,0
99,93.78,1,4,20887,10,4,4,2,0,0
54,139.5,2,10,23578,31,4,1,0,3,1
35,84.35,1,2,31414,19,4,2,2,3,1
29,102.0,1,4,10933,14,4,3,0,3,1
19,95.0,1,9,1830,19,3,2,1,0,1
14,80.08,0,5,19263,31,4,2,0,3,1
39,109.0,0,8,27854,14,3,2,0,1,1
78,136.0,1,4,32134,12,4,4,0,1,0
28,166.67,0,11,16328,11,4,2,1,0,0
111,96.67,0,6,6137,1,3,3,0,0,1
39,101.5,0,8,19592,14,3,2,0,1,1
5,100.0,0,5,12654,24,2,2,0,0,1
418,75.0,0,9,13125,26,3,2,1,0,0
280,110.0,0,9,21931,19,3,2,1,0,0
69,161.9,1,5,21888,18,4,2,0,0,1
4,110.11,1,9,3366,12,4,0,1,0,1
22,85.0,0,6,26196,30,3,1,0,0,1
5,65.0,1,9,24758,28,2,4,0,0,1
195,112.5,1,8,12892,30,4,2,0,0,0
33,59.0,0,1,27263,25,2,1,1,0,1
54,180.0,1,3,19559,20,4,1,2,0,1
64,73.95,1,3,10781,9,4,4,1,0,0
9,105.0,0,4,22214,10,4,0,1,3,1
52,125.1,1,9,19444,9,4,2,0,3,1
0,111.6,0,8,34464,11,4,1,0,0,1
24,46.67,1,2,31554,11,3,3,0,0,1
25,139.0,3,9,7760,26,4,1,1,0,1
101,72.25,1,8,21760,22,3,3,1,0,1
1,89.0,1,3,15943,30,4,1,0,3,1
21,151.33,1,10,33564,23,4,2,1,0,1
13,122.0,0,8,30738,26,4,3,2,3,0
114,189.0,0,7,4879,14,4,3,0,1,0
73,117.64,1,7,7154,1,3,5,2,0,1
97,121.5,1,7,17060,12,4,2,0,0,1
41,78.54,1,10,33979,14,4,4,0,0,1
9,128.4,2,8,34968,29,4,4,1,0,1
102,109.0,0,10,6911,16,3,2,0,1,1
143,85.5,0,8,18559,26,4,1,0,3,1
161,71.0,0,4,32895,22,3,2,1,0,1
198,90.95,1,7,8164,18,4,3,1,0,1
49,71.0,0,12,15009,30,3,4,0,0,1
60,88.61,1,3,31970,17,4,3,1,0,1
2,92.98,0,10,23273,11,4,1,0,3,1
37,95.0,0,10,15039,13,3,3,0,0,1
126,80.75,1,6,5437,26,4,4,2,3,1
53,100.5,1,7,617,10,4,1,2,3,1
24,107.1,0,9,6157,26,4,1,1,3,0
271,101.33,1,9,27036,21,3,3,0,0,0
112,131.4,0,8,6465,17,4,2,0,0,0
63,105.3,1,4,6685,22,4,2,1,0,0
211,100.0,0,5,2030,20,4,2,0,0,0
73,150.3,0,7,14869,4,4,4,1,0,0
22,149.0,2,9,34700,15,4,1,0,0,1
164,94.5,1,8,13005,4,4,2,0,3,1
0,79.0,0,2,28990,15,2,0,1,0,1
223,102.85,0,10,13152,3,4,3,1,0,0
6,145.0,2,10,9881,6,4,2,0,0,1
261,68.0,0,11,29669,20,3,1,2,0,0
11,306.0,0,9,25670,16,4,2,1,1,0
40,87.32,1,6,2225,29,4,2,0,0,1
2,109.65,0,10,23292,13,3,1,0,0,1
69,120.0,0,6,25386,12,3,4,2,0,0
335,80.0,0,10,30547,13,3,3,0,0,1
35,85.0,0,10,14240,20,3,3,0,0,1
32,86.15,1,2,16572,19,4,2,2,0,1
2,55.0,0,3,22278,2,3,1,0,0,1
59,137.7,0,7,36076,25,4,2,1,0,0
95,137.4,3,6,22043,3,4,2,1,0,1
74,91.48,1,10,16086,3,4,0,1,0,1
359,39.0,1,10,3328,14,3,3,2,0,1
40,60.0,1,11,18439,1,3,3,2,0,1
58,94.5,1,6,21830,22,4,2,0,0,1
160,70.0,0,12,29979,30,3,3,0,0,1
59,116.1,1,5,13555,21,4,3,2,3,0
30,89.1,0,9,8356,25,4,0,2,3,0
19,100.0,0,6,31335,22,2,2,0,0,1
66,73.5,0,3,10368,16,4,3,0,3,0
93,99.45,1,4,29655,17,4,3,2,0,1
2,109.65,0,10,23130,13,3,1,0,0,1
86,87.5,0,9,4043,24,3,2,0,0,1
131,94.5,0,8,18239,15,3,1,2,1,1
276,61.0,0,5,27168,13,3,3,2,0,0
28,100.0,0,5,20916,19,2,2,0,0,0
3,110.0,0,5,12553,1,0,6,4,0,0
195,90.9,2,10,9329,18,4,4,0,0,0
143,100.0,0,8,478,25,3,3,0,0,1
22,177.0,0,12,19306,27,4,0,2,0,1
6,105.0,2,9,31152,13,4,0,1,0,1
234,106.0,0,10,27010,17,2,2,1,0,0
13,231.0,3,7,20516,9,4,1,0,0,1
47,117.9,1,7,3461,1,4,3,2,0,1
59,74.8,1,11,12499,21,4,3,1,3,1
280,110.0,0,9,17126,19,3,2,1,0,0
141,90.0,0,9,12689,20,3,0,1,0,0
305,89.0,0,11,20797,4,3,2,1,0,0
19,90.0,0,6,35230,22,2,2,0,0,1
3,56.0,1,3,19734,1,1,3,0,0,1
39,109.0,0,8,13474,14,3,2,0,1,1
59,138.6,2,12,25225,24,4,1,2,0,1
30,72.0,1,2,8191,28,3,1,2,0,1
5,89.0,1,1,30363,22,4,2,1,0,1
55,60.0,0,11,31820,22,3,1,2,0,1
68,109.8,0,11,8839,27,4,1,2,0,0
16,124.0,2,9,970,21,4,3,1,0,1
104,87.67,2,6,4258,7,4,4,0,0,1
170,300.0,0,7,13911,29,3,3,2,1,0
14,125.2,0,4,33011,7,4,3,2,0,0
64,140.0,0,5,31645,17,2,2,0,0,0
15,91.0,1,2,26082,16,4,2,0,0,0
40,201.95,0,3,33078,25,4,2,1,0,0
3,109.85,2,6,27411,7,4,3,0,0,1
17,81.07,1,2,8773,7,4,0,2,0,1
71,116.1,1,5,29616,7,4,1,1,3,0
118,159.3,0,6,25162,2,4,3,0,0,0
257,106.2,3,10,28670,2,4,1,2,0,1
32,231.0,0,12,33500,19,4,1,1,1,0
0,109.0,0,8,9201,14,3,2,0,1,1
70,100.0,0,6,7826,3,3,2,0,0,1
12,67.0,1,12,9660,8,2,2,0,0,1
6,70.0,1,12,8242,27,3,5,1,0,1
37,88.0,0,12,4306,10,4,1,1,3,0
9,89.0,1,1,20931,4,4,0,1,0,1
0,65.0,0,5,4015,2,2,0,1,0,1
14,100.0,0,10,7500,15,3,2,0,0,1
65,82.45,1,3,4550,28,4,5,2,0,1
50,82.45,0,3,4278,11,4,2,2,0,0
115,76.0,0,2,13214,27,3,2,2,0,1
134,105.3,0,5,23516,5,4,2,0,0,0
180,70.0,0,10,11418,16,3,1,0,0,0
84,159.3,0,8,326,28,4,1,2,0,0
18,120.0,1,11,6244,1,4,2,0,0,1
1,85.0,1,2,33488,2,4,1,0,0,1
31,63.0,0,12,9378,5,3,1,2,0,1
32,74.0,1,2,7519,21,4,2,2,0,1
81,135.15,0,5,28477,15,4,3,2,0,0
3,0.0,1,7,35408,2,1,1,0,0,1
9,130.0,2,2,34392,6,4,1,2,0,1
79,109.8,1,4,14147,28,4,1,0,0,1
79,75.0,0,11,14321,13,3,2,0,0,1
8,126.0,0,5,16394,10,4,2,0,0,1
51,108.0,2,12,22555,5,4,2,1,0,1
9,90.0,0,2,27910,3,4,1,0,3,1
47,105.5,1,11,4745,5,4,2,0,0,1
2,99.5,0,11,8932,26,4,1,1,0,0
148,67.0,0,12,35609,30,3,4,1,0,1
62,75.0,0,9,20525,21,3,1,0,1,1
51,79.2,0,11,30217,12,4,1,1,3,0
102,87.0,0,10,5870,16,3,2,0,1,1
85,98.0,0,12,29406,3,4,1,1,0,1
5,110.0,0,9,15469,12,0,0,1,0,0
98,95.0,0,9,26919,30,3,2,0,0,0
43,96.3,0,4,31353,21,3,2,0,0,1
35,87.3,0,2,28343,10,4,4,0,0,0
99,80.5,0,2,11137,19,2,2,0,0,1
95,89.25,2,9,21388,18,4,2,1,0,1
53,76.58,1,4,31036,11,4,3,1,0,1
77,116.1,0,6,21645,17,4,2,0,3,0
69,159.3,1,5,17048,14,4,1,2,0,1
8,78.0,0,12,26228,16,4,2,0,3,1
174,109.65,0,9,6165,4,4,2,2,3,0
418,75.0,0,9,12068,26,3,2,1,0,0
13,78.0,0,12,17739,20,4,3,0,3,1
15,93.0,3,2,33398,17,4,2,0,0,1
4,91.0,0,2,16990,13,4,1,0,0,0
72,60.0,0,12,11599,5,3,1,2,0,1
131,164.25,2,8,17318,1,4,1,1,1,1
292,115.0,0,7,21989,21,3,2,0,1,0
2,67.0,1,12,23810,14,2,2,0,0,1
64,126.9,1,4,35660,29,4,2,1,0,0
98,126.9,1,5,30909,19,4,1,0,0,1
36,108.9,1,6,19828,19,4,1,2,0,1
39,72.0,0,11,16273,21,3,2,1,0,1
112,100.0,0,6,2748,2,3,2,0,0,1
45,60.0,0,11,36010,6,3,2,1,0,1
223,90.95,2,8,1896,30,4,4,0,0,0
7,151.0,1,6,30854,30,4,2,0,0,1
19,80.0,0,10,30516,6,3,3,0,0,1
33,70.0,0,9,18609,28,1,2,0,0,1
237,104.55,0,12,35466,15,4,3,2,0,1
145,190.8,2,8,7908,17,4,2,0,0,1
8,95.0,1,4,1006,5,4,1,0,0,1
71,168.3,0,9,30334,11,4,0,1,0,1
11,141.0,1,6,22549,17,4,2,0,0,0
14,107.0,0,12,24894,27,4,2,2,0,1
1,148.8,1,9,9668,11,4,3,2,0,1
18,135.0,0,5,31716,13,4,1,0,0,0
27,110.0,1,10,20486,29,4,1,2,3,1
1,60.0,0,2,27861,28,3,1,2,0,0
66,150.22,0,11,12830,6,4,3,2,1,0
75,80.0,0,3,4618,17,4,3,1,0,0
80,72.25,0,3,134,29,4,4,0,3,1
71,120.0,0,6,27339,14,3,3,0,0,1
3,133.0,1,10,32973,19,4,2,1,3,1
130,104.4,1,5,11169,5,4,3,0,0,1
101,85.28,2,4,3351,9,4,4,2,0,1
230,137.0,0,9,435,6,4,5,0,1,0
293,68.17,0,12,26894,25,4,6,4,3,0
190,93.5,1,9,11187,8,4,5,2,0,1
266,75.0,0,12,23968,2,3,2,0,0,1
134,65.0,0,12,7836,4,3,2,2,0,1
292,115.0,0,7,764,21,4,2,0,1,0
39,135.0,1,11,27831,10,4,3,0,3,1
5,117.73,0,5,13649,29,4,2,2,0,0
74,69.4,0,7,11074,27,4,7,3,0,1
0,145.85,0,5,28768,23,4,1,1,0,1
29,104.0,1,11,3422,30,4,4,2,0,1
3,83.5,1,2,11518,25,4,2,0,3,1
23,114.0,1,10,34665,11,4,0,1,3,1
33,0.0,0,10,25787,7,4,0,0,3,1
259,73.41,3,12,15772,28,4,5,2,0,1
79,109.0,0,6,316,24,3,2,0,1,1
214,80.75,1,9,24392,23,3,2,1,0,1
112,101.58,1,5,146,4,4,4,0,3,1
57,90.67,1,6,34491,10,3,2,1,0,1
192,102.0,0,9,9898,25,3,3,2,0,0
162,121.5,2,7,10495,27,4,1,0,0,0
14,73.0,0,5,29280,27,3,1,0,0,1
8,86.72,1,11,11114,11,4,2,2,0,1
57,85.5,3,10,8659,28,4,2,0,0,1
221,65.0,0,10,16296,17,3,1,2,0,1
0,216.0,0,10,36269,6,4,1,0,0,0
23,154.0,1,12,35549,3,4,1,2,0,1
0,95.0,1,11,26925,17,4,1,0,3,1
56,185.0,0,9,30441,25,3,2,2,0,1
65,137.7,2,7,5359,23,4,1,1,0,1
50,83.66,1,2,35082,22,4,5,2,0,0
335,80.0,0,10,17213,13,3,3,0,0,1
72,95.2,1,4,8763,23,4,2,2,0,1
249,96.3,0,10,32746,28,4,2,1,0,0
12,87.63,1,11,9011,18,4,2,2,3,1
1,180.33,2,9,18295,3,4,3,0,0,1
221,74.44,0,12,3486,23,4,4,2,0,0
115,76.0,0,2,7799,27,3,2,2,0,1
131,94.5,0,8,6136,15,3,1,2,1,1
5,69.0,0,12,34272,17,3,2,0,0,1
37,65.0,0,5,34088,8,2,0,1,0,1
75,105.0,0,10,3868,30,4,0,2,1,0
79,159.3,0,5,4649,14,4,1,2,0,0
104,75.0,0,5,9138,16,3,2,1,0,1
33,42.0,1,11,23606,10,3,4,0,0,1
155,119.24,0,6,9544,14,3,2,0,1,0
56,116.1,0,5,13800,13,4,2,0,3,0
88,112.2,0,10,3111,5,3,1,1,1,1
61,125.8,0,10,11862,9,3,1,2,0,1
7,143.0,0,5,29560,11,4,3,0,0,0
250,95.0,0,9,14001,26,3,3,1,0,0
303,78.0,1,8,35965,19,3,3,2,0,1
8,146.0,0,4,13088,21,4,3,0,0,1
39,194.85,0,9,14653,21,4,1,0,1,1
26,131.0,1,9,1572,3,4,1,1,0,1
16,98.6,1,12,12522,24,4,2,2,0,1
107,130.0,1,6,26707,10,3,2,0,0,1
66,187.85,2,5,24499,25,4,5,2,0,1
145,65.0,0,1,6628,3,3,1,2,0,1
76,151.2,1,10,10687,22,4,1,0,0,0
210,72.75,0,10,29297,8,3,3,1,0,1
59,153.09,1,6,3005,4,4,1,1,1,0
11,130.0,1,11,10543,5,4,1,0,0,0
60,65.0,1,10,10697,12,3,3,1,0,1
86,146.6,1,11,9276,6,4,2,2,0,0
151,130.0,0,9,35301,17,3,1,0,0,0
272,90.1,0,7,6088,28,4,3,2,0,0
94,94.5,0,7,10269,12,4,5,1,3,0
9,166.0,2,7,7872,13,4,3,0,0,1
5,65.0,0,9,14475,28,2,0,1,0,1
36,137.7,0,4,12302,10,4,1,2,0,0
85,98.0,0,12,10658,3,4,1,1,0,1
10,151.0,1,6,28787,30,4,3,1,0,1
30,140.0,0,6,26101,2,3,2,0,0,1
14,109.0,1,3,33306,11,4,2,1,0,1
37,125.1,3,8,28812,20,4,3,2,3,1
150,90.0,1,6,25531,16,3,3,0,1,1
37,105.0,0,10,20279,13,3,3,0,0,1
122,105.83,2,7,6717,9,4,2,2,0,1
304,65.6,1,8,15543,20,4,3,2,0,1
125,137.7,1,8,14077,20,4,1,1,0,0
52,108.11,2,5,9210,27,4,2,1,0,1
79,183.6,1,9,20775,15,4,3,2,1,0
48,104.49,0,5,28660,21,4,1,2,3,0
39,101.5,0,8,27656,14,3,2,0,1,1
128,123.3,1,10,32421,29,4,1,2,0,0
65,109.9,1,7,11032,27,4,2,0,0,1
220,172.0,0,9,9226,17,3,1,2,1,0
145,76.5,1,8,9707,15,4,2,2,0,1
166,96.3,1,6,2270,26,4,0,1,0,1
